,id,url,tweet_text,author_handle,datetime_posted,language,scraped_at
0,1644923815032688640,https://twitter.com/jeremiahjw/status/1644923815032688640,I’ve *never* seen a film portray this feeling in an evangelical church service this accurately (not even in Christian films). Steven Yeun grew up evangelical Christian and you can really see the experience of that in this performance.,jeremiahjw,2023-04-09T04:42:53.000Z,en,2023-04-09 19:43
1,1645104306486493184,https://twitter.com/QuantaMagazine/status/1645104306486493184,"Joseph Samuel Myers, a software engineer in Cambridge, England, with a doctorate in combinatorics, used a hierarchy of shapes within shapes to prove that the hat tile can fill the entire plane aperiodically. https://quantamagazine.org/hobbyist-finds-maths-elusive-einstein-tile-20230404/…",QuantaMagazine,2023-04-09T16:40:05.000Z,en,2023-04-09 19:43
2,1645183716979798016,https://twitter.com/japantimes/status/1645183716979798016,Three pictures depicting an Indian elephant being led to safety through a chaotic scene following the 1923 Great Kanto Earthquake have been discovered at Japan's oldest amusement park.,japantimes,2023-04-09T21:55:38.000Z,en,2023-04-09 19:43
3,1645132162943930371,https://twitter.com/papers_daily/status/1645132162943930371,"Graph Neural Networks are Dynamic Programmers

https://ai.papers.bar/paper/6ab305ceafca11ecac827bce58715ee7…

Recent advances in neural algorithmic reasoning with graph neural networks (GNNs) are propped up by the notion of algorithmic alignment. Broadly,...",papers_daily,2023-04-09T18:30:47.000Z,en,2023-04-09 19:43
4,1645051641429909510,https://twitter.com/hardmaru/status/1645051641429909510,“GoPro footage of the Roman invasion of Britain” #AIart #SDXL,hardmaru,2023-04-09T13:10:49.000Z,en,2023-04-09 19:43
5,1645193991887937536,https://twitter.com/japantimes/status/1645193991887937536,"The Japanese government believes young people's incomes must be hiked, lest measures to tackle the country's low birthrate end up just looking good just on paper.",japantimes,2023-04-09T22:36:28.000Z,en,2023-04-09 19:43
3,1645188063373475843,https://twitter.com/japantimes/status/1645188063373475843,"As Japan looks to shift its energy mix toward cleaner sources, Hokkaido is set to play a key role as an envisioned renewable energy hub.",japantimes,2023-04-09T22:12:55.000Z,en,2023-04-09 19:43
4,1645190310459219972,https://twitter.com/japantimes/status/1645190310459219972,"The Bank of Japan is seeing its first leadership change in a decade, with new Gov. Kazuo Ueda now facing a long list of challenges.",japantimes,2023-04-09T22:21:50.000Z,en,2023-04-09 19:43
5,1645188590773698560,https://twitter.com/nhk_news/status/1645188590773698560,"＼
新生活に
「NHKニュース･防災アプリ」
／

速報や最新ニュースをいち早く
地震、津波、避難情報など命を守る情報
1時間ごとの天気予報
マップで雨雲の動きを確認
様々なライブ配信も

ダウンロードはこちらから
(iOS)
https://apps.apple.com/jp/app/id1121104608…
(Android)
https://play.google.com/store/apps/details?id=jp.or.nhk.news&pli=1…",nhk_news,2023-04-09T22:15:00.000Z,ja,2023-04-09 19:43
6,1645044972213747712,https://twitter.com/yoavgo/status/1645044972213747712,"codex-gpt-et-al will not replace programmers. they may, however:
(a) create a new class of creators that didn't exist before
(b) make it much harder to get a job as a junior-dev, which means a likely serious shortage in senior devs a few years down the line",yoavgo,2023-04-09T12:44:19.000Z,en,2023-04-09 19:43
4,1645182176818876416,https://twitter.com/hirox246/status/1645182176818876416,約束を破ったのではなく、「もっと大事な約束を守るために些細な約束をぶっちぎった」と考えるというお話。,hirox246,2023-04-09T21:49:31.000Z,ja,2023-04-09 19:43
5,1645126577347330052,https://twitter.com/kanejxnikolai/status/1645126577347330052,actually footage of jesper and wylan before leaving on every heist,kanejxnikolai,2023-04-09T18:08:35.000Z,en,2023-04-09 19:43
6,1644993942813900800,https://twitter.com/feelskanej/status/1644993942813900800,"freddy when he plays kaz changes his voice according to who he is talking about, he uses his raspy voice when he is talking to his enemies, his cold tone when he talks with the crows and a warm, low tone when he talks to inej",feelskanej,2023-04-09T09:21:33.000Z,en,2023-04-09 19:43
7,1645138575304929280,https://twitter.com/FreyaHolmer/status/1645138575304929280,toast and I went out today! first walk of 2023,FreyaHolmer,2023-04-09T18:56:16.000Z,en,2023-04-09 19:43
3,1645138579029409792,https://twitter.com/FreyaHolmer/status/1645138579029409792,"as you can see, (if you look closely) toast is a very good boy",FreyaHolmer,2023-04-09T18:56:17.000Z,en,2023-04-09 19:43
4,1645138845095149569,https://twitter.com/FreyaHolmer/status/1645138845095149569,*flops*,FreyaHolmer,2023-04-09T18:57:20.000Z,en,2023-04-09 19:43
5,1645043491402305536,https://twitter.com/mas__yamazaki/status/1645043491402305536,"機密漏えい「懲役10年も」などと公務員を脅す前に、自民党国会議員の統一教会系秘書は「セキュリティー・クリアランス」上問題ないんですか？

細田博之氏や萩生田光一氏など、統一教会との根深い関係が取り沙汰されている国会議員も、重要会議から遠ざけないと駄目なのでは？https://nordot.app/1017686447865577472…",mas__yamazaki,2023-04-09T12:38:26.000Z,ja,2023-04-09 19:43
3,1645041368052686848,https://twitter.com/Rainmaker1973/status/1645041368052686848,"This is the preserved shell of a giant 'ancient armadillo' creature called Glyptodont that roamed the earth around 20,000 years ago. A farmer in Argentina uncovered four of them in a dried-out riverbed near Buenos Aires in February 2020

[read more: http://ow.ly/cifl50B0cTo]",Rainmaker1973,2023-04-09T12:30:00.000Z,en,2023-04-09 19:43
4,1645041416605777922,https://twitter.com/nikkei/status/1645041416605777922,"「子どもは負担」逆転させたフランス　日本も変われるはず
https://s.nikkei.com/3KJaJfL",nikkei,2023-04-09T12:30:11.000Z,ja,2023-04-09 19:43
5,1645125799945678852,https://twitter.com/AmitaSumanStyle/status/1645125799945678852,"No Netflix - you will not take the most perfectly casted character away from me
#ShadowAndBone #ForAmitaSuman #SOCSpinoff",AmitaSumanStyle,2023-04-09T18:05:30.000Z,en,2023-04-09 19:43
3,1644857461751390208,https://twitter.com/upblissed/status/1644857461751390208,shit was jus unnecessary,upblissed,2023-04-09T00:19:13.000Z,en,2023-04-09 19:43
4,1645024265174147074,https://twitter.com/nhk_news/status/1645024265174147074,【速報 JUST IN 】大阪市長選挙 横山英幸氏 当選確実 新人5人の争い制す #nhk_news,nhk_news,2023-04-09T11:22:02.000Z,ja,2023-04-09 19:43
5,1645083543222075395,https://twitter.com/wesperlvrbot/status/1645083543222075395,"make this come true @netflix
#ShadowAndBone #SOCspinoff #SixofCrowsSpinoff",˚,2023-04-09T15:17:35.000Z,en,2023-04-09 19:43
6,1645109823543865345,https://twitter.com/CuriosidadesPRL/status/1645109823543865345,Gabriel Jesus.,CuriosidadesPRL,2023-04-09T17:02:01.000Z,ht,2023-04-09 19:43
4,1645141779778265089,https://twitter.com/The_Japan_News/status/1645141779778265089,Berlusconi’s Doctor Says He’s Responding Well to Treatment,The_Japan_News,2023-04-09T19:09:00.000Z,en,2023-04-09 19:43
5,1644873118824144897,https://twitter.com/catshouldnt/status/1644873118824144897,,catshouldnt,2023-04-09T01:21:26.000Z,,2023-04-09 19:43
6,1645144203276480516,https://twitter.com/PoetasFla/status/1645144203276480516,"Meu Deus, de tanto que os pais vão pra reality ele foi adotado",PoetasFla,2023-04-09T19:18:38.000Z,pt,2023-04-09 19:43
3,1645162919196327936,https://twitter.com/The_Japan_News/status/1645162919196327936,Bolts of summery hand towel cloth brighten a Sakai factory as they dangle and dry,The_Japan_News,2023-04-09T20:33:00.000Z,en,2023-04-09 19:43
4,1645059632224763904,https://twitter.com/Snaihtniroccccc/status/1645059632224763904,NÃO,Snaihtniroccccc,2023-04-09T13:42:34.000Z,und,2023-04-09 19:43
5,1644840468096643073,https://twitter.com/kirawontmiss/status/1644840468096643073,LMAOOOO,kirawontmiss,2023-04-08T23:11:41.000Z,ht,2023-04-09 19:43
3,1645146034954465280,https://twitter.com/nikkei/status/1645146034954465280,大日本印刷、｢万年割安｣の汚名返上　なお足りぬ資産売却,nikkei,2023-04-09T19:25:54.000Z,ja,2023-04-09 19:43
4,1644956672064888835,https://twitter.com/VinilRanga/status/1644956672064888835,,VinilRanga,2023-04-09T06:53:27.000Z,,2023-04-09 19:43
5,1645176793018638338,https://twitter.com/nhk_news/status/1645176793018638338,【随時更新】ロシア ウクライナに軍事侵攻（10日の動き） #nhk_news,nhk_news,2023-04-09T21:28:08.000Z,ja,2023-04-09 19:43
6,1645167192386990080,https://twitter.com/nikkei/status/1645167192386990080,「本の賞」なぜ活況　「お墨付き」より「お薦め」の時代,nikkei,2023-04-09T20:49:59.000Z,ja,2023-04-09 19:43
0,1645214574990204932,https://twitter.com/semvalentoes/status/1645214574990204932,"Quem disse que não existe cura para valentão? 

Tá aí a comprovação",semvalentoes,2023-04-09T23:58:15.000Z,pt,2023-04-09 22:50
1,1645200898828783617,https://twitter.com/felipeneto/status/1645200898828783617,"Merecido demais esse título.

Só espero q esse gol no fim faça a diretoria do Flamengo perceber a qualidade do trabalho do Vítor Pereira.

Merece continuar.",felipeneto,2023-04-09T23:03:55.000Z,pt,2023-04-09 22:50
2,,,"Se um é pouco, dois é bom, três é... demais? Pedro Pascal, nunca é demais. Assista tudo, assine agora.",HBOMaxBR,,pt,2023-04-09 22:50
3,1645233458967621633,https://twitter.com/benbeechphoto/status/1645233458967621633,"I just finished a 1 year contract shooting PR material for the Tokyo Met Government. I covered everything from temples to theme parks, museums to matsuri. Here I'd like to present 50 of my favourite locations from the project, hopefully inspiring some of you to visit them!",benbeechphoto,2023-04-10T01:13:18.000Z,en,2023-04-09 22:50
4,1645180339126403076,https://twitter.com/InternetH0F/status/1645180339126403076,,InternetH0F,2023-04-09T21:42:13.000Z,,2023-04-09 22:50
5,1645198719732576263,https://twitter.com/felipeneto/status/1645198719732576263,Eu defendo #FicaVP,felipeneto,2023-04-09T22:55:15.000Z,pt,2023-04-09 22:50
6,1645149768752979973,https://twitter.com/iamharaldur/status/1645149768752979973,"Wheelchair accessibility in NYC is very bad. 

Using the subway is extremely hard. 

Sidewalks are broken, many of the curbs are so high it's impossible to on or off them, even with assistance.

Entire neighborhoods have no accessible restaurants or café's. 

Incredible.",iamharaldur,2023-04-09T19:40:44.000Z,en,2023-04-09 22:50
5,1645070509372243974,https://twitter.com/gordic_aleksa/status/1645070509372243974,"The rate of progress in LLM optimization is just mind-blowing!  

Running 13B LLMs like LLaMA on edge devices (e.g. MacBook Pro with an M1 chip) is now almost a breeze. 

I remember when this looked like a distant future not too long ago. I feel old lol. 

1/",gordic_aleksa,2023-04-09T14:25:48.000Z,en,2023-04-09 22:50
6,1645231533274595329,https://twitter.com/GearoidReidy/status/1645231533274595329,Nintendo's shares in Tokyo getting a 1UP after the Super Mario Bros. Movie has a record opening weekend for an animated flick. The stock is up as much as 3.6%.,GearoidReidy,2023-04-10T01:05:39.000Z,en,2023-04-09 22:50
7,1645126256185278465,https://twitter.com/moorehn/status/1645126256185278465,"Oh my God, call the billionaire burn unit",moorehn,2023-04-09T18:07:19.000Z,en,2023-04-09 22:50
3,1645183845438996480,https://twitter.com/Mulboyne/status/1645183845438996480,"Shibuya held a memorial service for Hachiko on Saturday, after a four year break during the pandemic. https://shibukei.com/headline/17421/",Mulboyne,2023-04-09T21:56:09.000Z,en,2023-04-09 22:50
5,1645216015834574848,https://twitter.com/UnseenJapanSite/status/1645216015834574848,Asahi Shimbun ran a telephone poll asking respondents if they had hopes for PM Kishida’s plans to reverse the nation’s declining birth rate. 61% said they do not. Women were less enthused: 65% compared to 57% of men.,UnseenJapanSite,2023-04-10T00:03:59.000Z,en,2023-04-09 22:50
6,1645216636033699842,https://twitter.com/UnseenJapanSite/status/1645216636033699842,"The Kishida gov is testing multiple plans to encourage people to have kids, including stipends to offset rising inflationary costs. The latest idea: free public school lunches, an idea endorsed by multiple political parties.",UnseenJapanSite,2023-04-10T00:06:27.000Z,en,2023-04-09 22:50
3,1645070985077596161,https://twitter.com/johntv/status/1645070985077596161,"I finally started playing Hollow Knight (very late to the party, I know) - did a few hours on PS5 but thinking of changing to Switch. Any performance issues or other concerns? (Tunic was 60 fps on PS5, so I played there. But HK feels like it wants to be played on a handheld…)",johntv,2023-04-09T14:27:41.000Z,en,2023-04-09 22:50
4,1644886005395214342,https://twitter.com/fasc1nate/status/1644886005395214342,The prop of The One Ring used in close-ups in Lord of the Rings.,fasc1nate,2023-04-09T02:12:38.000Z,en,2023-04-09 22:50
6,1645207267044737027,https://twitter.com/LeandroRamos/status/1645207267044737027,Sabe o que dá mais raiva? Cadê o Marcos Braz nas derrotas? O cara só quer saber de capitalizar politicamente em cima das vitórias do Flamengo. É um covarde parasita.,LeandroRamos,2023-04-09T23:29:13.000Z,pt,2023-04-09 22:50
7,1645208778986356737,https://twitter.com/felipeneto/status/1645208778986356737,Para com isso e deixa o VP trabalhar,felipeneto,2023-04-09T23:35:14.000Z,pt,2023-04-09 22:50
